GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CA1,database,DataParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
CA1,database,DataParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
CA1,database,DataParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
CA1,database,DataParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
CA1,database,DataParser,0,138,0,2,0,27,0,6,0,5
CA1,database,Database,36,46,0,0,8,9,8,7,8,7
CA1,application,BalootApplication,10,0,0,0,4,0,2,0,2,0
CA1,utils,BuyListItem,23,0,0,0,7,0,5,0,5,0
CA1,service,Baloot,559,28,68,2,124,13,56,4,22,3
CA1,domain,Order,12,36,2,2,4,5,5,7,3,7
CA1,domain,Engine,5,139,1,23,1,39,1,16,0,5
CA1,controllers,CommoditiesController,28,182,3,1,6,38,3,9,0,9
CA1,controllers,CommentController,0,72,0,0,0,18,0,4,0,4
CA1,controllers,ProviderController,39,0,0,0,10,0,4,0,4,0
CA1,controllers,AuthenticationController,0,99,0,0,0,22,0,4,0,4
CA1,controllers,BuyListController,222,0,4,0,46,0,9,0,7,0
CA1,controllers,UserController,69,0,0,0,17,0,4,0,4,0
CA1,model,Commodity,0,169,0,8,0,31,0,30,0,26
CA1,model,User,15,233,0,12,0,48,4,27,4,21
CA1,model,Provider,12,19,0,0,4,2,4,5,4,5
CA1,model,Comment,0,166,1,5,0,32,1,24,0,22
CA1,exceptions,CommodityIsNotInBuyList,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,MissingUserId,4,0,0,0,2,0,1,0,1,0
CA1,exceptions,NotExistentCommodity,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,NotExistentComment,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,IncorrectPassword,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,UsernameAlreadyTaken,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,InsufficientCredit,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,NotExistentUser,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,NotInStock,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,NotExistentProvider,4,0,0,0,2,0,1,0,1,0
CA1,exceptions,MissingCommodityId,4,0,0,0,2,0,1,0,1,0
CA1,exceptions,InvalidCreditRange,0,4,0,0,0,2,0,1,0,1
CA1,exceptions,AlreadyInBuyList,4,0,0,0,2,0,1,0,1,0
CA1,defines,Errors,3,0,0,0,1,0,1,0,1,0
